t,cpu,err,log,y,p,trust,action,drift
0,41.440057679621255,0.019246841592598346,INFO ok,0,0.5,1.0,scale_up,0
1,45.5227655296596,0.032402893130838925,INFO ok,0,0.49875000260416025,1.0,scale_up,0
2,42.305602087930666,0.017037394447079357,INFO ok,0,0.5094213738980966,1.0,scale_up,0
3,41.531307760501434,0.025158353160110714,INFO ok,0,0.4990085270506432,1.0,scale_up,0
4,47.128597215703614,0.020873346774451854,INFO ok,0,0.49866046563885325,1.0,scale_up,0
5,44.19526022430115,0.0,INFO ok,0,0.49224680738744303,1.0,scale_up,0
6,39.48139883475706,0.023460669939725485,INFO ok,0,0.517520210140966,1.0,scale_up,0
7,46.47398635794925,0.018996107129340998,INFO ok,0,0.4896252572196893,1.0,scale_up,0
8,40.87166959324822,0.012926653355233724,INFO ok,0,0.4905569165716004,1.0,scale_up,0
9,42.65708291981197,0.015023516115606404,INFO ok,0,0.48285808288479454,1.0,scale_up,0
10,50.56273079411628,0.019836699732265893,INFO ok,0,0.4877118304402573,1.0,scale_up,0
11,50.75201856524811,0.03199897749749414,INFO ok,0,0.4826739310752712,1.0,scale_up,0
12,45.154004430874096,0.023023822172348662,INFO ok,0,0.48262526128936806,1.0,scale_up,0
13,46.0973133661865,0.020207704938566457,INFO ok,0,0.47177387731795795,1.0,scale_up,0
14,49.14003822463853,0.01925805137147991,INFO ok,0,0.4434951656252302,1.0,scale_up,0
15,44.566859448368454,0.033487401133269534,INFO ok,0,0.4935644532663343,1.0,scale_up,0
16,53.10506575352466,0.03278841190363152,INFO ok,0,0.3874334239787092,1.0,no_op,0
17,54.330624634628,0.011054622044970208,INFO ok,0,0.3879943015336271,1.0,no_op,0
18,52.31486744728642,0.020110352032195376,INFO ok,0,0.394666525625973,1.0,no_op,0
19,52.07233104773355,0.010767466995803063,INFO ok,0,0.4003368254513751,1.0,scale_up,0
20,52.650434172094904,0.017710365677701574,INFO ok,0,0.3816655872907308,1.0,no_op,0
21,51.21797088824841,0.01528977790695327,INFO ok,0,0.40093163993318803,1.0,scale_up,0
22,55.990186741063994,0.0127874353275745,INFO ok,0,0.31742044307832445,1.0,no_op,0
23,56.38360201581401,0.029476469493569385,INFO ok,0,0.32554877027935347,1.0,no_op,0
24,55.76326521688423,0.03084359259737385,INFO ok,0,0.3317342152151446,1.0,no_op,0
25,53.411087738538896,0.02419279229571192,INFO ok,0,0.36866156190482624,1.0,no_op,0
26,49.04341439780577,0.011695957488721698,INFO ok,0,0.4595459349106737,1.0,scale_up,0
27,52.94427171270774,0.02278676212562895,INFO ok,0,0.37484339853512155,1.0,no_op,0
28,55.95618639303791,0.014890873939500813,INFO ok,0,0.31231357897979006,1.0,no_op,0
29,54.5909145771963,0.002034628530385652,INFO ok,0,0.33245850450136094,1.0,no_op,0
