t,cpu,err,log,y,p,trust,action,drift
0,37.97744038148953,0.01902239055654894,INFO ok,0,0.5,1.0,scale_up,0
1,38.581374591870734,0.012866260220964428,INFO ok,0,0.49875000260416025,1.0,scale_up,0
2,42.493447053993314,0.014040820782906378,INFO ok,0,0.4077150769689259,1.0,scale_up,0
3,44.781618591048534,0.015139916532367414,INFO ok,0,0.45822722269955446,1.0,scale_up,0
4,43.88314485879832,0.026794035075317458,INFO ok,0,0.5183806583808144,1.0,scale_up,0
5,44.84188512963771,0.01130781923748016,INFO ok,0,0.4627412323978715,1.0,scale_up,0
6,45.80797653160645,0.011897212343519443,INFO ok,0,0.44459377567943664,1.0,scale_up,0
7,39.647738459960934,0.02513394283375874,INFO ok,0,0.5480072521366582,1.0,scale_up,0
8,42.553689470226885,0.011223107945142488,INFO ok,0,0.4878677168585591,1.0,scale_up,0
9,48.629251211545274,0.013514011584000504,INFO ok,0,0.40761393087319314,1.0,scale_up,0
10,46.29402202357339,0.011113362087711657,INFO ok,0,0.4356714737460163,1.0,scale_up,0
11,47.611036998702644,0.020386287318085266,INFO ok,0,0.4305011821998248,1.0,scale_up,0
12,46.45064037868181,0.01518286293341712,INFO ok,0,0.43664048319610854,1.0,scale_up,0
13,44.86176824686703,0.022148858196917268,INFO ok,0,0.47503513222218385,1.0,scale_up,0
14,43.41553813419092,0.015893950965742643,INFO ok,0,0.49257393584874454,1.0,scale_up,0
15,45.72761303601355,0.00863259447908064,INFO ok,0,0.4418535470123033,1.0,scale_up,0
16,47.075900578655926,0.01458892774109389,INFO ok,0,0.41266500220763946,1.0,scale_up,0
17,49.929766544246185,0.025153860454579107,INFO ok,0,0.3695295347216174,1.0,no_op,0
18,46.10145098823616,0.0064149642643244985,INFO ok,0,0.4340842607238684,1.0,scale_up,0
19,53.168681855905184,0.0005015981999868108,INFO ok,0,0.24886294663311148,1.0,no_op,0
20,52.35899923685333,0.034760512262294194,INFO ok,0,0.36119207278456594,1.0,no_op,0
21,50.46264205628294,0.02794056432999894,INFO ok,0,0.3643096712028755,1.0,no_op,0
22,50.24609544360306,0.02669881711840197,INFO ok,0,0.35877163512890775,1.0,no_op,0
23,49.68244463739112,0.008430624386984322,INFO ok,0,0.3739557593945991,1.0,no_op,0
24,53.525254046372154,0.021193412908534638,INFO ok,0,0.2744077316079773,1.0,no_op,0
25,52.48186536447135,0.02033646787961454,INFO ok,0,0.3037547985714744,1.0,no_op,0
26,51.97814046363212,0.017640266357232766,INFO ok,0,0.31839453984936056,1.0,no_op,0
27,54.135368965538476,0.027960053096163725,INFO ok,0,0.26190470632462093,1.0,no_op,0
28,52.41914186591127,0.030946556783626088,INFO ok,0,0.30132643541170995,1.0,no_op,0
29,55.11350355771465,0.0,INFO ok,0,0.2696664987199476,1.0,no_op,0
30,53.734000296072075,0.024324961554433627,INFO ok,0,0.27953991634877945,1.0,no_op,0
31,53.72329527565476,0.02790257956803819,INFO ok,0,0.27635649778029486,1.0,no_op,0
32,50.59056379692457,0.015540539969881955,INFO ok,0,0.38213745180918696,1.0,no_op,0
33,56.76073326511629,0.024255299992994465,INFO ok,0,0.20236946803914632,1.0,no_op,0
34,57.249274162072254,0.013084182414887499,INFO ok,0,0.21031489450388666,1.0,no_op,0
